#,dátum,értékelés,szöveg
1,2026-05-04,2/5,"Unpopular opinion: ez a könyv nem a fordítás miatt gyatra. Sőt, még fanficnek is gyenge lenne. Tele van borzasztóan túlírt körökkel, amikkel nem jutunk sehová. Emellett teljesen egysíkú karakterek, akik annyira semmilyenek, hogy Crowthertől és Matiasról illetve Ilvaról és Paceről a könyv feléig azt hittem, hogy ugyanazok. Csak azért nem kevertem össze mind a négyüket, mert a nemeket sikerült külön választanom, ezenkívül semmi különbség nem volt köztük, csak felváltva törölték a lábukat a mindent eltűrő mazochista főhősnőbe. Hogy Helena miért nem hagyta a csudába ez egészet, az örök rejtély. Luc egyetlen tulajdonsága, hogy jó. Ennyi. A történések totál offscreen történnek, mindenről csak úgy értesülünk, az orrunk előtt csak két szerencsétlen szenvedés-versenye folyik. Illetve az egész írásmódra érvényes, hogy sokkal többet kellene mutatnia, mint elmondania, de az írónő mindent, de mindent szájbarág Helena narraciójával. A romantikán belül is van egy szimpatikus momentum — de ez az egyetlen."
2,2026-05-04,3/5,"Közepesnél nem tudok jobbat adni erre a könyvre. Unalmas, vontatott, az egész töredékesnek tűnik. A szereplők közül egyedül Helena volt szimpatikus. Kaine Ferron is az lett volna, ha nem lett volna ilyen hatalmas lyuk a karakterfejlődésén. A fordítás katasztrofális. Összességében egy átlagos romantasy, ha elolvasod, semmi maradandót nem nyújt."
3,2026-05-03,3/5,"A könyv három részből áll, az első rész számomra nagyon izgalmas volt, végig arra számítottam, hogy ezzel a lendülettel halad majd a könyv. A második részre viszont ez az izgalom elveszett, repetitívnek éreztem a cselekményt. A harmadik részre aztán valamennyire visszajött a figyelmem. Az illusztrációk nagyon szépek lettek."
4,2026-05-03,0/5,"Röviden az a véleményem, hogy ez a regény rosszul van megírva, és ebből a szempontból nem tesz különbséget, hogy fanfictionből lett-e adaptálva vagy sem. A karakterek sablonosak, a cselekmény kiszámítható, a prózastílus lapos. A romantikus szál erőltetett. Nem ajánlom."
5,2026-04-30,2/5,"Az Alchemised nálam egyértelműen egy rossz romantasyként csapódott le, ami még jó dark fantasy-nak sem mondható. A főhősnő döntéshozatali képessége hajmeresztő, a szerelmi szál klisés. A világépítés érdekesebb volt, de ennyi."
6,2026-04-30,5/5,"Ez a könyv egy csoda. Tele van fájdalommal, reménnyel, és olyan szerelmi szállal ami nem édeskés, hanem valódi. Helena karaktere erős és törékeny egyszerre. Kaine Ferron pedig az egyik legjobb antihős akit valaha olvastam. Nem tudtam letenni."
7,2026-04-29,5/5,"Elolvastam és imádtam! Igen, hosszú könyv, igen, sötét. De éppen ez a kettő teszi különlegessé. A világépítés fantasztikus, a mellékszereplők is mind kidolgozottak. Helena és Kaine dinamikája lélegzetelállító."
8,2026-04-29,3/5,"Nagyon nehezen haladtam az elején, nagyon nem érdekelt és egyáltalán nem fogott meg ez az új világ. A közepén fogott meg a sztori a gyógyítás és az önvédelmi lecke után. Ez a lelkesedésem megmaradt a 3. rész elejéig, ami után annyira ismétlődtek a dolgok és annyira csöpögös lett nekem ez a dark romance, hogy megint azt éreztem, hogy szenvedek olvasás közben. Amikor fanfictionből érkező írók elhiszik, hogy meg tudnak ugrani egy ilyen volumenű történetet – de végül mégis megragadnak a középszerű szórakoztatás szintjén. Teljesen így éreztem én is. +1 az illusztrációk miatt."
9,2026-04-28,1/5,"Nem tudom, hogy mások mit olvastak vagy túl nagyok az elvárásaim, de nekem minden hiányzott belőle amit itt sok értékelő dicsér. A karakterek laposak, a fordítás rossz, a cselekmény vontatott. Nem ajánlom."
10,2026-04-28,5/5,"Imádtam minden egyes oldalát. Az első fejezettől az utolsóig magával ragadott. A világ, a karakterek, a romantikus szál — minden a helyén volt. Kaine Ferron örök kedvencem lett."
11,2026-04-27,3/5,"A könyv, ami csatazajjal érkezett és azóta is egymást érik a kommentek. Így szerencsésnek érzem magam, hogy nekem kimaradt a Harry Potter, ezért nem is vonzanak a fanfiction-ok. De mint fantasy, nem volt kikerülhető. Lényegében elvárások nélkül fogtam bele, aminek köszönhetően nem volt akkora pofára esés, mint lehetett volna."
12,2026-04-26,5/5,"Az az igazság, hogy nem szoktam felülni a hype vonatra, de most megtettem. Az első pillanatban megvett magának a történet, ahogy elkezdtem. Nagyon hamar elolvastam jelentős terjedelméhez képest, annyira belevesztem a lapokba. Még az olvasást is elfelejtettem jelölni molyon, csak így utólag. Már látom, hogy addig nem fogok nyugodni, ameddig nem lesz egy saját példány a polcomon."
13,2026-04-26,5/5,"Mielőtt megjelent már akkora várakozást övezte a könyvet, hogy tudtam, hogy bár nem szoktam azonnal a hype vonatra felülni most mégis megtettem. Nem bántam meg! A könyv sötét, komor, és pont ezért szeretem. Helena erős karakter, Kaine pedig összetett antihős. A világépítés lenyűgöző."
14,2026-04-25,5/5,"Ez a könyv mindent megadott amit egy dark fantasytől várok. Komplex világ, érdekes karakterek, feszült romantikus szál. Nem csodálkozom a hype-on."
15,2026-04-25,4/5,"Összességében jó könyv, de a terjedelme kissé túlzó. Az első és harmadik rész erős, a második kicsit vontatott. A fordítás sajnos hagy kívánnivalókat maga után. Az illusztrációk viszont gyönyörűek."
16,2026-04-24,2/5,"Hatalmas hype volt körülötte, én is felültem rá. Sajnos a sztori elég kiforrott, de néhol elég elkapkodottnak tűnt. A szereplők pedig alig vannak kidolgozva. Hiába próbálta az írónő elmagyarázni a motivációjukat, akkor sem tudtam azonosulni velük. A vége még meh…"
17,2026-04-24,1/5,A fordítás hanyagsága miatt.
18,2026-04-24,1/5,"Még a könyv felénél sem tartok, de a fordítás, szerkesztés botrányos. Hatalmas csalódás. Erősen gondolkozom, hogy be sem fejezem a könyvet és inkább túladok rajta. Mindenkinek, aki szeretné elolvasni és tízezer forintért megvenni a könyvet, annak tudnia kéne arról, hogy miért lett 880 oldal egy 1040 oldalas könyv."
19,2026-04-23,4/5,"Nagyon vártam ezt a könyvet és azonnal be is szippantott. Az írónő egy elképesztő világot alkotott meg. Bár az elején akár csak Helena a sötétben tapogatózunk, engem ez egyáltalán nem zavart, sőt kifejezetten izgalmasnak találtam. Ami egy kissé zavaró volt, hogy sokáig nem értettem mi a különbség egy Megnemhaló és élőhalott között. Összességében nagyon tetszett, bár a fordítás valóban hagy kívánnivalókat maga után."
20,2026-04-23,3/5,"Sokat gondolkoztam, hogy ezt olvassam előbb, vagy lessek bele az eredeti verzióba inkább, végül az Alchemised nyert. Kár, mert most kénytelen vagyok parkolópályára tenni a fanfictiont, mert ez annyira megzavart a fejemben. Alapvetően jó könyv, de a hype-hoz nem ér fel."
21,2026-04-23,3/5,"A könyv alapvetően érdekes, de a terjedelme és az ismétlődések sokat levonnak belőle. A romantikus szál klisés elemekkel van tele."
22,2026-04-23,2/5,"Na, beleestem a legújabb vesztőhelyembe: hallgattam a hype-ra, és elolvastam az Alkimisták háborúja című könyvet. Tudom, nem leszek népszerű ezzel a véleménnyel, de leírom, bennem mi maradt utána. Amikor fanfictionből érkező írók elhiszik, hogy meg tudnak ugrani egy ilyen volumenű történetet – de végül mégis megragadnak a középszerű szórakoztatás szintjén. Sajnos ez pontosan az volt."
23,2026-04-21,2/5,"Hatalmas csalódás, még az után a kritikus 250 oldal után sem győzött meg. Muszáj volt félbehagynom. Nem tudtam együttérezni, átérezni, megszeretni a karaktereket. Teljesen egyértelmű volt 300 oldal után az irány, nem volt meglepetés."
24,2026-04-20,5/5,"Életem egyik legjobb olvasói élménye. Csodálatos világ, szereplők, elemek, úgy tökéletes ahogy van. Drága Helena & Kaine."
25,2026-04-19,5/5,"Közel az éjfélhez még mindig próbálom összeszedni a gondolataimat. Megértem azt, aki elolvasta, becsukta és csak nézett ki a fejéből. Én is így voltam. A világ, a karakterek, a romantika — minden egyszerre nehéz és gyönyörű. Kötelező olvasmány minden dark fantasy rajongónak."
26,2026-04-18,5/5,"Imádtam! Az ilyen könyvek… egyszerűen hihetetlen, hogy néhány írónak milyen fantáziája van!! Ezért, ezekért érdemes olvasni."
27,2026-04-18,5/5,"Nehezen vettem rá magam, hogy elkezdjem. De nem bántam meg. Igaz nálam az első 100 oldal meghatározó egy könyv esetében, hogy folytatom vagy sem. De a véleményeket olvasva, tovább mentem vele, és tényleg kibontakozott az egész sztori. Nem csalódtam."
28,2026-04-17,4/5,– Alkimisták háborúja
29,2026-04-17,4/5,"Hiába akadékoskodik a szerző, hogy ez nem romantasy. Az. Ha Dark Daddy Issue tropet akarsz, ez a könyv tökéletes számodra! Kimeríti a fogalmat."
30,2026-04-16,4/5,Nekem ez komoly csalódás ennyi hype után. Én sokszor eluntam magam. Lapos volt! Túl van írva sok helyen. A plusz csillagot a világfelépítés miatt kapja. Nem azt kaptam amit vártam.
31,2026-04-16,5/5,Az idei év legjobb könyve jelenleg a számomra.
32,2026-04-16,5/5,"Az egyik legjobb könyv, ami az utóbbi időben hozzám került. Tartottam tőle a nagy hype miatt. Azt gondoltam, hogy túlzás. De jelentem. Nem az. Habár több mint 800 oldalas könyvről van szó, ez nem tűnt fel olvasás közben."
33,2026-04-16,4/5,"Egy útikalauzban több érzelem van, mint ebben a könyvben. A világfelépítés tökéletes, a könyv struktúrája is, de az érzelmeket hírből se ismeri."
34,2026-04-15,5/5,"Történt már velem olyan korábban, hogy egy könyvet 4 csillagra értékeltem, mégis a kedvenceim közé sorolom. Voltak hibái amik zavartak, de összességében annyira jó volt és olyan egyedi élményt adott, hogy megérdemli az 5-öst."
35,2026-04-15,5/5,"Ma szerintem a 2026-os év eddigi legmegosztóbb könyvét hoztam nektek. Ez nem más, mint Senlinyu Alchemised című könyve. Elképesztően komplex és sötét világ, erős főhősnő, és egy romantikus szál ami nem könnyű — de épp ezért igazi."
36,2026-04-15,4/5,"Felültem most a hype-vonatra és kipróbáltam ezt a 880 oldalas monstrumot. Megérte. A világfelépítés és a karakterek jók, bár a fordítás sajnos gyengíti az összképet."
37,2026-04-14,5/5,"Gyönyörű, fájdalmas, komplex. A világ és a karakterek kidolgozottsága lenyűgöző. Helena és Kaine kapcsolata nem kézenfekvő, de annál hitelesebbnek hat."
38,2026-04-14,3/5,"A világteremtésért minden elismerésem. Nagyon érdekes volt az egész és jól átalakította a már jól ismert HP világot. De nekem kicsit túl hosszúra nyúlt ez a könyv. Egy percig sem sajnálom, hogy elolvastam, de nem kerültem a bűvkörébe."
39,2026-04-13,3/5,"Nem gyakran olvasok fantasy-t, de mivel ezt egy sötét világú, alkimista könyvként ecsetelték, egészen vártam. Sajnos csalódtam. Az Alchemisednak abszolút vannak jó pontjai: a világépítés, a vallás és babonák kialakítása, az alkímia elképzelése. A cselekmény érdekes volt, a háborút a maga pőreségében mutatta be a szerző. Számomra azonban itt megállnak a pozitívumok."
40,2026-04-13,4/5,"Az első és a második része a könyvnek vitt magával, az biztos, azonban a harmadik kicsit lassabb volt. A világépítés és a romantikus szál között jó az egyensúly."
41,2026-04-13,5/5,"Ez az a kötet amit ismeretlenül rendeltem meg, mert annyi helyről szembejött már velem, hogy muszáj volt elolvasnom. Megértem miért szeretik annyian. Nem egy rövid kötet de fel se tűnt az olvasás közben, csak úgy szaladtak az oldalak. Újdonságot jelentett végre a sok romantasy között. Nekem egy kicsit az már túlzásokba ment miket bírt ki Helena szinte egy szó nélkül, és a végén maradt egy kis hiányérzetem a lezárásnál. De összességében nagyon tetszett."
42,2026-04-13,5/5,"A történet elképesztően komplex, jól felépített, egyedi dark fantasy. Tetszettek a karakterek, a történet felépítése és a világ, valamint a háborús események bemutatása. Számomra a második rész volt a legjobb."
43,2026-04-12,3/5,"Részletes véleményt a blogomra írtam. Összefoglalva: érdekes világ, de a terjedelem és a fordítás problémái rontanak rajta."
44,2026-04-12,5/5,"""– Nem számít, mi történik veled. Akkor is az enyém vagy."""
45,2026-04-12,5/5,"Jár az 5 csillag, mert egy remekül felépített világ és szuper történet."
46,2026-04-11,5/5,»– És mit fogunk tenni? – kérdezte Helena. Ilva lebiggyesztette az ajkát. – Emlékszel Kaine Ferronra? Helena majdnem elnevette magát. Mindenki emlékezett Kaine Ferronra.«
47,2026-04-11,5/5,"Ha azt mondom brutál és komplex világépítés, még lehet finoman is fogalmaztam. Az a temérdek nehéz és morbid téma, amit ez a könyv feldolgoz, az nem semmi! A manacled az egyik legemlékezetesebb olvasmányom volt — így felvértezve indultam neki hatalmas kíváncsisággal, hogyan írta át ezt a történetet az írónő. Szerintem érdemes úgy kezelni ezt a könyvet, hogy ez tényleg egy dark fantasy, ahol a fókusz a világépítésen, a mágiarendszeren és a karaktereken van."
48,2026-04-10,5/5,"Régen vártam már az Alchemised megjelenését és nagyon boldog voltam mikor végre a kezemben tarthattam. Az első pár lap után már rájöttem, hogy igen, én ezt vártam, és faltam a lapokat. Több véleménnyel ellentétben nekem teljesen átjött a romantikus szál, és a mellékszereplőkből is annyit kaptam amennyi érdekelt. Átéreztem Helena és Ferron keserédes, áldozatokkal teli szerelmét. Nagyon tetszett a világépítés, valamint a könyv részekre tagolása. Érdekes, hogy annak ellenére, hogy milyen komor és nyomasztó a könyv, máris hiányzik az a hangulat. Már most biztosan tudom hogy hamarosan újra fogom olvasni."
49,2026-04-10,4/5,"Elismerem, hogy ez a könyv több mint átlagos romantasy. A világépítés valóban erős, Helena karaktere is kidolgozott. A fordítási problémák viszont sajnos megzavarják az olvasási élményt. Összességében 4 csillag — megérte elolvasni."
50,2026-04-10,2/5,"Több mint 800 oldal. NYOLCSZÁZ. És én végigolvastam, vártam, hittem benne, hogy majd jön az a pont, ahol leszakad az ég, ahol végre beüt… és azóta is várom. Hogy lehet ennyi oldalt úgy megírni, hogy nem történik meg az érzelmi katarzis? A könyv első része még oké, okkal ilyen csiga. A második rész… na itt rendesen meg kellett szenvednem minden szerencsétlen betűt. A harmadik rész… feleslegesnek éreztem."
