#,dátum,értékelés,szöveg
1,2026-05-01,5/5,"Andy Weir nagyon jól és olvasmányosan ír, ez már az Artemisben is kiderült. Ez a könyve bár hosszúnak tűnik, a végén azt érezem, hogy ez nem elég, hogy nekem kell még, hogy olvashassam. Nagyon tetszett, hogy a filmmel szemben, itt minden tudományosan meg van magyarázva, minden alá van támasztva, bár megítélni nem tudom, hogy helyesen-e, de mindenképp hihetően. Plusz ezek a részek egyáltalán nem untattak. Rocky és Grace dinamikája nagyon tetszett, a többi mellékszereplő is jó volt. A végén amikor láttam hogy már csak 5 oldal van, alig bírtam magammal, annyira izgultam. Nagyon jó volt, sajnálom, hogy már csak a Marsi van hátra magyarul az írótól."
2,2026-04-28,4/5,"Olvasmányos sci-fi. Néha a valóshoz kepest könnyűnek tűnik benne az űrtechnológia, de ez sincs túltolva."
3,2026-04-25,5/5,Amaza! Amaze! Amaze!
4,2026-04-24,5/5,"Könyv jó jó jó. Bár néha nézte ahogy alszom. (Tudományos rész nekem nem könnyű mindig.) Történet és karakterek profi, profi, profi. Én ökölpacsiz író."
5,2026-04-22,5/5,"Azon könyvek egyike, amelyeknél kifejezetten örülök, hogy előbb olvastam el, mint filmben láttam. Hihetetlen egy olvasmány volt számomra. Imádtam az író humorát, a tudományos fejtegetéseit. Helyenként túlzottan magyarázónak véltem, ami viszont sokak számára segítség lehet egyes részek megértéséhez. Nagyon kíváncsi voltam a film mennyiben fog eltérni az írott szövegtől, miket fognak kihagyni és miket vizualizálni. A kedvenc karakterem Rocky volt – természetesen. Alig várom, hogy A marsi c. könyvet is elolvashassam!"
6,2026-04-22,5/5,"Ez a harmadik Andy Weir könyvem és azt kell mondanom, hogy vetekedik A marsi-val. A kedvencem az egészben az, hogy megmutatja mennyire sokoldalú tud lenni egy ember, mennyire jól tudja kihasználni azt a pár százalék agyi kapacitást, mennyire sokat jelent az az 5 alap érzék, és mégis mennyire sebezhetőek vagyunk mindenzen temérdek tudás ellenére. Rocky karaktere nagyon szerethető volt, de inkább felépítésében, mint ufo nyűgözött le. Nagyon izgalmasnak találtam az életminőségbeli különbséget az idegen fajhoz képest."
7,2026-04-21,4/5,"Hazudnék, ha azt mondanám a könyv minden szavát értettem, de ennek ellenére tetszett. A történet jó, a humoros elbeszélő stílus is bejött. A tudományos és féltudományos magyarázatok, leírások nem voltak unalmasak."
8,2026-04-19,4/5,"Jó könyv, bár a legtöbb sci-finál a csúcstechnológia egy kicsit könnyen megy. De ez nem von le belőle. Rocky karaktere nagyszerű."
9,2026-04-18,4/5,"Szórakoztató olvasmány. Rocky és Grace kapcsolata az egyik legkedvesebb, amit valaha olvastam."
10,2026-04-17,5/5,Szerintem ez Andy Weir legjobb könyve. Rocky tényleg meglopja az ember szívét. A befejezés megható.
11,2026-04-17,5/5,"Jaj nagyon jó volt. Olvastatta magát, alig vártam hogy folytassam. Nehéz spoiler mentes kritikát írni, de szerettem a karaktereket és a történetet. Egyedül ami miatt fél pontot levontam az az, hogy szerintem mint sci-fi eléggé komolytalan volt. Úgy kezelték azt az űrhajót, mintha egy játékszer lenne."
12,2026-04-17,3/5,"Elsőre érdekesnek tűnt a történet, amolyan űr-Robinson Crusoe-ba oltott futurisztikus Gulliver utazásai, de aztán kiderült, hogy az író annyira hajlamos perverz módon elmerülni a technikai részletekben, hogy egyszerűen meguntam olvasni. Egy idő után már a legkevésbé sem érdekelt a történet, csak hogy érjek már a végére, és sajnos még ez sem hozott megkönnyebbülést."
13,2026-04-17,4/5,"Nagyon jó könyv. Kicsit lassabb az eleje, de aztán felgyorsul és nem tudod letenni. Rocky és Grace dinamikája fantasztikus."
14,2026-04-15,5/5,Életem egyik legjobb könyve. Nem tudtam letenni. Rocky egyszerűen bájosan zseniális karakter.
15,2026-04-12,4/5,"Nagyon jó sci-fi olvasmány. Érdekesek a tudományos fejtegetések, Rocky karaktere pedig egyedülálló. Nem tökéletes, de közel áll hozzá."
16,2026-04-11,5/5,Fantasztikus könyv! Weir megint remekelt. A Rocky-Grace páros az irodalom egyik legjobb duója.
17,2026-04-10,5/5,"Elképesztő olvasmányélmény volt. Tudományos alapja lenyűgöző, Rocky karaktere megható, a befejezés pedig tökéletes."
18,2026-04-09,5/5,"Zseniális könyv. Nemcsak szórakoztató, de mély is. Rocky és Grace barátságát soha nem fogom elfelejteni."
19,2026-04-08,5/5,"Én is azok közé tartozom, akik a film hatására olvasták el a könyvet. Mivel nálam sokkal okosabbak már rengeteg véleményt hagytak, így én az érzéseimről fogok beszélni. Andy nagyon gördülékenyen ír, és a fordítás is zseniális volt. Rockyt már a filmben is nagyon kedveltem, itt pedig egyenesen imádtam. Rengeteg morális dilemmát feszeget a könyv, Grace sem egy csillogó páncélú hős lovag, azonban zseniális agyával és fejlődő jellemével nem tudott nem szimpatikus lenni. Mennyivel értelmesebb az élet, ha célja van! Rocky barátsága szó szerint és átvitt értelemben is életmenő lett. Humoros, szarkasztikus, és keményen tudományos, mégis minden oldalán velejéig szórakoztató."
20,2026-04-04,3/5,"Megint én leszek az ünneprontó, de nekem ez a könyv nem ért fel a hype-hoz. Ami nagyon tetszett benne azok a tudományos részek. Rocky tényleg aranyos volt ezt sem tagadom, viszont nem éreztem azt a mélységet amit kellett volna. Számomra nem volt akkora nyomása a küldetésnek, mivel nem láttunk bele mit élnek át az emberek a földön. Nem tudtam senkihez sem kapcsolódni."
21,2026-04-04,5/5,"Élveztem, de a fizikáról szóló részeket átugrottam, esélyt sem adtam magamnak, hogy ezeket megértsem!"
22,2026-04-04,5/5,"Mint mostanában sokan én is a film után álltam neki elolvasni a könyvet. Imádtam magam jobban beleásni a történetbe és a tudományba. Rocky beugrott a kedvenc űrlényeim listájára. Az ET-hez én túl fiatal vagyok, de ami az idősebbeknek ET úgy hiszem az nekem Rocky lett. Nagyszerű történet ez, tele drámával, fordulatokkal, vicces részekkel és egy olyan barátsággal, ami egy (emberi) életre szól."
23,2026-04-04,5/5,"Ez valami egészen fenomenális, katartikus olvasmány!"
24,2026-04-03,5/5,"Nem semmi úgy megírni egy könyvet, hogy annak csak kb a harmadát fogja az átlagolvasó megérteni, majd a végén mégis ad neki öt csillagot. A magyar és a fizika kapcsolatáról már értekeztem a marsi értékelésemben, de nyugodtan lehet ide is vonatkoztatni."
25,2026-04-02,5/5,"Kevés könyvnek adok 5 csillagot, de ez megérdemli, még ha volt is egy-két hiba itt-ott (tudományos és dramaturgiai is). De igazságtalan lenne ezek miatt fél csillaggal kevesebbet adni. 4.9 a reális :) Bárcsak ilyen olvasmányos, tudományos, és logikus lenne minden sci-fi."
