#,dátum,értékelés,általános,pozitívumok,negatívumok,
1,2026. 04. 20.,3/5,A francba.,,Úgy sikít mintha meg akarnák gyilkolni.,
2,2026. 04. 09.,1/5,"A mosógép a legalsó kategória, és ez meg is látszik a kialakításon: csavaráskor hihetetlenül ugrál és bömböl - még a lábak helyes beállítása, a szennyes helyes elrendezése és még 800 fordulat/perc fordulatszám mellett is! A mosógép menetel, nekicsapódik a falnak, és dübörög, mint egy felszálló vadászgép. Ilyet még életemben nem tapasztaltam, még egy 80-as évekbeli mosógép is csendesebb volt. Nagy csalódás. A Whirlpool már nem az, ami volt.",alacsony ár,hihetetlenül hangos csavaráskor | instabil centrifugálás közben | gyenge műanyag alkatrészek,
3,2026. 04. 01.,5/5,Szép mosoda.,,,
4,2026. 03. 17.,5/5,megbízhatóan működik,,,
5,2026. 03. 17.,5/5,"Sokféle program és mosási ciklus. Csendesen mos, ami nagy előny a korábbi géphez képest. Eddig elégedett vagyok a géppel.",Sokféle program | Csendes mosás,"A csatlakozócső nem illeszkedett a fali csatlakozóhoz | Furcsa feleslegesnek tűnő funkciógombok normális leírás nélkül | Az adagoló tartályt az ajtóra rakták, emiatt nehezen tisztítható",
6,2026. 03. 12.,5/5,Csendes,,,
7,2026. 02. 06.,1/5,"Még mindig sírva fakadok az eredeti 20 éves mosógép után, ami sajnos kifutott az időből.",Viszonylag csendes mosás közben,"A tápcső használhatatlan - olyan ellenállással rendelkezik, hogy a mosógép azt jelzi, hogy nincs vízellátás csatlakoztatva.",
8,2026. 01. 26.,5/5,egyszerű kezelés | csendes,,,
9,2026. 01. 15.,4/5,"Jó ár-érték arány, egyszerű kezelés. A programok logikusan vannak felépítve.",Ár-érték arány | Csendes,ECO program nagyon hosszú,
10,2025. 12. 20.,5/5,Csendes és megbízható működés.,,,
11,2025. 11. 30.,5/5,"Elégedett vagyok, csendes, jól mos.",Csendes | Jó mosási eredmény,,
12,2025. 11. 15.,5/5,Megfelel az elvárásoknak. Csendes.,,,
13,2025. 10. 28.,3/5,"Közepes mosógép. Nem rossz, de nem is kiemelkedő. A zajszint néha meglepő.",Ár-érték arány,Centrifugáláskor zajosabb mint vártam,
14,2025. 10. 12.,5/5,Kiváló mosógép. Csendes és hatékony.,,,
15,2025. 09. 25.,5/5,Csendes működés. Jól mos.,,,
16,2025. 09. 10.,4/5,"Általában elégedett vagyok. A kezelőfelület egyszerű, a mosás hatékony.",Egyszerű kezelés | Csendes,Időnként kissé rezeg centrifugáláskor,
17,2025. 08. 22.,5/5,Nagyon elégedett vagyok. Csendes és megbízható.,,,
18,2025. 08. 05.,1/5,Meghibásodott az első hónap után. Szerviz hívás szükséges volt. Nem ajánlom.,,Meghibásodás az első hónap után,
19,2025. 07. 18.,5/5,Tökéletesen működik. Csendes és hatékony.,,,
20,2025. 07. 02.,5/5,"Kiváló mosógép, csendes működés, jó mosási eredmény.",Csendes | Hatékony,,
21,2025. 06. 15.,4/5,Jó mosógép. Egyszerű kezelés. Kicsit hosszú az ECO program.,,ECO program túl hosszú,
22,2025. 06. 01.,5/5,Csendes és megbízható. Ajánlom.,,,
23,2025. 05. 20.,2/5,Sajnos a centrifugáláskor nagyon hangos. Falnak csapódik. Visszaküldtem.,,Centrifugáláskor rendkívül hangos | Instabil,
24,2025. 05. 10.,5/5,Kiváló mosógép. Csendes és hatékony.,,,
25,2025. 05. 18.,5/5,"Nagyon elégedett. Csendes, jól mos, egyszerű kezelés.",Csendes | Egyszerű kezelés,,
26,2025. 05. 16.,5/5,"Csendes, a programban választható hőmérséklet, eddig minden működik.",,,
27,2025. 05. 07.,5/5,"Teljesen megfelel az igényeimnek, az idő és a hőmérséklet a programban állítható. A legjobb mosógép, ami valaha is volt.",,,
28,2025. 04. 23.,2/5,"Közvetlenül az üzembe helyezés után jelenti, hogy nincs víz és nem szolgáltat vizet, nem ad hozzá szövetlágyítót. Panasz és szervizhívás az érkezés napján - egy hete várok egy technikusra. Egy régi mechanikus programozóval ellátott mosógép 20 évig bírta.",,Meghibásodás üzembe helyezéskor | Hosszú szervizvárakozás,
29,2025. 04. 13.,5/5,"Csendes működés, állítható hőmérséklet és centrifugálási sebesség.",,,
30,2025. 04. 02.,5/5,"Az előző mosógépem is Whirlpool 6. érzékes volt. Több hétig keresgéltem ár-érték arányban, és ezt találtam akciós napokon az Alza-nál a legkedvezőbb áron. A Whirlpool nekem bevált: a sok modern és nagyon jól testreszabható program, a ZEN hangtalan motor, a jó javíthatóság és alkatrészellátottság miatt ismét Whirlpool-t választottam. Nagyon csendes, modern, szinte minden programján állítható a hőmérséklet és a centrifuga fordulatszáma. Sok ruhához van wasserplus extra öblítés is.",ZEN hangtalan motor | Testreszabható programok | Kiváló ár-érték arány | Jó alkatrészellátottság,,
31,2025. 04. 01.,5/5,vásárlás otthonról | gyors szállítás,,,
32,2025. 03. 22.,5/5,Nagyon csendes | A programok kiválasztása,,Nincs hangjelzés a mosás végén.,
33,2025. 01. 30.,5/5,"Csendes, csendes működés, nagyon stabil",,,
34,2024. 12. 28.,1/5,"Két mosás után a mosógép leállt. A felső fedél lámpája villog, mintha nem lenne zárva. Nincs több Whirlpool. Most Isten tudja, meddig kell várnunk a kiszolgálásra.",,Két mosás után meghibásodott | Hosszú szervizvárakozás,
35,2024. 12. 26.,4/5,Egyszerű vezérlőpanel,,,
36,2024. 12. 16.,5/5,Csendes működés az előző mosógéphez képest,,ECO program elég hosszú,
37,2024. 12. 15.,5/5,ár/érték arány,,,
38,2024. 11. 18.,5/5,Egyszerű programbeállítás,,Egy kicsit zajosabb,
39,2024. 11. 03.,5/5,egyszerű működés | csendes működés | áttekinthető kijelző,,,
40,2024. 10. 26.,5/5,"Kiváló, kis helyen is elfér.",,,
41,2024. 10. 14.,1/5,"A hangok, amelyeket az első mosástól és a centrifugálástól kezdve hallottam. 14 nap elteltével megszűnt a vízelvezetés, és teljesen lecentrifugálódott. Panasz, visszaküldve.",,Zajos az első mosástól | Vízelvezetés meghibásodása 14 nap után,
42,2024. 10. 09.,1/5,"A mosógép pontosan három töltést bírt ki, majd bűzlött és meghalt.",,Három mosás után tönkrement,
43,2024. 10. 07.,5/5,Csendesen mos.,,,
44,2024. 09. 26.,5/5,Azt kaptuk amit vártunk,nagyon csendes | praktikus,"egyelőre nincs, reméljük nem is lesz",
45,2024. 08. 13.,5/5,"Volt már WP mosógépem, ez kicsit jobb, mint az előző. Kellett vennem hozzá szőnyeget, új bekötőszelepet, egy leeresztő szalagot — ezeket előre érdemes tudni.",,Kiegészítő vásárlások szükségesek (szőnyeg,bekötőszelep)
46,2024. 07. 28.,2/5,Olcsó,,egyes programokban hihetetlenül zajos | Hihetetlen rezgések érzékelhetők akár több szomszédos szobában is,
47,2024. 07. 14.,5/5,"A mosógép nagyon csendes, jól mos.",,,
48,2024. 07. 04.,5/5,Père,,,
49,2024. 06. 27.,5/5,"Eddig úgy működik ahogy kell, 4 napja üzemel, 3 alkalommal jártunk különböző programokon.",,,
50,2024. 06. 16.,5/5,Elégedettség | Elég csendes | A ruhanemű majdnem száraz kivétel után,,,
