#,score,date,traveler_type,positive_hu,negative_hu
1,9,16 January 2026,Couple,"A szoba kényelmes volt, a spa kiváló és kellemes volt. A vacsorát és a reggelit is élveztük a spában. A biztosított köntösök melegek és kényelmesek voltak.",Érkezéskor érdemes tájékoztatni az étkezéshez szükséges öltözetről. Fürdőruha és köntös nem megengedett.
2,10,30 October 2025,Family,"Nagyon kedves személyzet, nagyon finom ételek és nagyon tiszta, csendes szoba.",
3,10,30 May 2025,Group,"A létesítmények modernek, tiszták és jól felszereltek. Tökéletes szálláshely volt, miközben folytattuk a kerékpártúránkat. Mindannyian élveztük a nagy víziparkot és a szaunákat. Az ételek egészen jók voltak. Különösen értékeltük, hogy az üdülőhely vacsorát és reggelit is biztosított. Kiváló ár-érték arány!","Minden rendben volt. Csak azt sajnáljuk, hogy nem töltöttünk több időt Esztergomban."
4,9,10 April 2025,Solo traveller,Gyönyörű hotel. Nagyszerű elhelyezkedés és szolgáltatások. A reggeli fantasztikus volt. Vacsora — nagy választék.,
5,10,9 April 2025,Couple,"nagyszerű elhelyezkedés, személyzet és ételek",Szobatakarítás.
6,9,8 February 2025,Family,Szép és tiszta szobák jó takarítással. Jó ételkínálat.,
7,8,23 November 2024,Couple,"Pár napot töltöttünk ebben a hotelben, hogy pihenjünk a spában. A szobák modernek, kényelmesek és jól hangszigeteltek, ortopéd matracokkal. A szobánk ablakai lenyűgöző kilátást nyújtottak a híres Bazilikára.",Sajnos reggel csatornaszag jött a szellőzőnyílásból. A szűrőkön keresztül érkező levegő minőségén lehetne javítani.
8,8,4 March 2025,Couple,"A hotelben nagy, kényelmes szobák vannak, spa (imádtuk a kültéri pezsgőfürdőt), nagyon kedves személyzet, remek reggeli és fantasztikus kilátás a szobából!",Az ágyakat cserélni kellene.
9,10,22 February 2025,Couple,"Kellemes hotel lenyűgöző kilátással a Dunára és a Bazilikára a szoba és az étterem kényelméből. Remek spa- és wellnesslétesítmények, köztük kültéri pezsgőfürdő és szauna. A szoba és a hotel szépen berendezett és karbantartott. Fantasztikus reggeli és jó vacsora. A személyzet barátságos és segítőkész. Biztosan visszatérünk.",
10,8,9 February 2025,Couple,"Nagyszerű wellnessközpont, remek kilátás a szobákból, nagyon finom reggeli.","A hotel biztosíthatna ingyen vizet, legalább egy palackot fejenként naponta. Az étteremben vacsora közben nincs ingyen víz, és minden italért külön kell fizetni."
11,10,29 May 2024,Couple,"A szoba nem túl nagy, de kényelmes. Új bútorok és modern fürdőszobai felszereltség. A szoba hangszigetelése kiváló a nagy, nehéz ajtónak köszönhetően. A hotel modern és tiszta. A személyzet barátságos és profi. Nagyon tetszett a reggeli és a vacsora — finomak voltak, széles választékkal. Családi és romantikus nyaraláshoz teljes mértékben ajánlott!","Nincs tea-/kávékészítő bekészítés a szobában, és nincs szappan-/mosakodószett a fürdőszobában. Jó lenne törölközők és fürdőruhák szárítására alkalmas fűtő-szárítót elhelyezni. A wellness pihenőzónában nem voltak akasztók a törölközőknek."
12,8,20 September 2025,Group,Nagyszerű medence.,
13,9,12 December 2023,Solo traveller,Nagyon jó reggeli és könnyű hozzáférés az úszómedencéhez.,
14,9,7 May 2023,Family,"Gyönyörű és hatalmas családi szoba csodás kilátással, nagy terasszal. Remek reggeli és vacsora. Szép, de kissé kicsi játszószoba. Kedves és figyelmes személyzet. Nagyszerű medencék.","A gyerekeknek szánt kanapéágy kicsi, göröngyös és kényelmetlen volt. Szombaton 21:00-kor hangos zene szólt a lobbyból, ami még a 2. emeleten is zavarta a gyerekeket."
15,8,18 May 2025,Solo traveller,"A hotel személyzete nagyon barátságos, segítőkész és nagyon profi. A jövőben biztosan újra meglátogatnám a hotelt.","Festékszag van a szobában, mivel az első emeleten felújítás zajlik. A fürdőszobában zuhanyzáskor a víz kifolyik a zuhanyzóból a fürdőszoba többi részébe."
16,7,17 November 2025,Group,,Ügyfélszolgálat.
17,7,14 July 2023,Group,Elhelyezkedés: rendben.,"Éttermi személyzet, étkezés (reggeli és vacsora): soha többé kategória. Az este a bárban elviselhetetlen volt."
18,5,14 November 2025,Solo traveller,Személyzet.,A szobák elhasználódtak. A parkolási helyzet nem igazán jó.
19,8,1 May 2026,Solo traveller,"Szobák, ételek.","Medencék, személyzet."
20,10,29 April 2026,Solo traveller,"Segítőkész, figyelmes személyzet. Tiszta hotel, tiszta szoba. Bőséges félpanzió, házias ízek.",Véget ért a nyaralás és haza kellett menni. 😉
21,10,28 April 2026,Solo traveller,,"A lenti szaunák nem túl minőségiek, a fentieket pedig csak fürdőruha nélkül lehet használni."
22,10,27 April 2026,Solo traveller,Minden szuper volt.,
23,9,23 April 2026,Couple,,Autóval érkező vendég parkolása nem megoldott a beléptetés idejére.
24,10,20 April 2026,Group,"A reggeli kiváló volt, bő kínálat, jó minőség. Amit hiányoltunk, az a mikró az étel melegítésére — a felszolgálók kedvesen megoldották.",
25,10,18 April 2026,Solo traveller,"Szállás, készséges személyzet, tisztaság és kiváló ételek.",Pelenkás csecsemők a medencében.
26,10,16 April 2026,Group,Az ételek nagyon finomak voltak és a személyzet is nagyon kedves volt. 😊,
27,10,14 April 2026,Family,"Kedves, segítőkész személyzet, tisztaság, kényelmes szobák. Az étteremben a reggeliztetős Imi bácsi a legjobb — példaértékű kedvesség.",
28,10,30 March 2026,Family,"Rendszeresen járunk ebbe a hotelbe. Nagyszerű az elhelyezkedése közvetlenül Esztergom központjában, gyönyörű kilátással a Bazilikára. Kiváló választás gyermekes családoknak az aquaparkkal való közvetlen összeköttetés miatt. A vacsorák kiválóak. Újra jövünk.",A reggeli és a kávé átlagos.
29,9,29 March 2026,Family,"Elhelyezkedés, felszereltség, wellness részleg, kiváló étel, nagyon kedves kiszolgálás",Nem volt olyan
30,8,29 March 2026,Family,"Tiszta rendezett szobák, alkalmazottak kedvessége, bőséges reggeli és vacsora.","2. emeleten voltunk, még este 11-kor a gyerekek visítva szaladgáltak a folyosón. Ez azért túlzás volt."
31,10,15 March 2026,Couple,"Kedves személyzet. Finom ételek, bőséges választékban. Finom koktélok. Pazar kilátás a Bazilikára.",
32,10,7 March 2026,Couple,2022-ben már jártunk a Portobellóban. Most a tartózkodás még jobb és színvonalasabb volt. Főleg a termálvíz miatt mentünk.,
33,10,22 February 2026,Couple,"Nagyon kedves személyzet, a problémáinkat kezelték. Az ételek finomak voltak.","Az első szobában, ahova kerültünk, hallatszott a fürdő zaja — ezt követően cserélték a szobánkat."
34,10,22 February 2026,Family,"Nagyon finom és választékos konyha, praktikus és igényes belső terek, nagy tisztaság. Páros pihenéshez tökéletes.",Igazából nem volt. :)
35,10,19 February 2026,Family,"Gyönyörű, szép, tiszta szobák, mindennel meg voltunk elégedve.",
36,9,19 February 2026,Couple,"A lokáció szuper, az étkezés szintén. A wellness különösen nagy hatással volt ránk.","A hotel TV-hálózatában egyetlen szlovák vagy cseh csatorna sem volt, pedig a vendégek körülbelül 10%-a ezekből az országokból érkezett."
37,10,17 February 2026,Group,Szuper szálláshely közvetlen kapcsolattal a fürdőbe.,
38,10,16 February 2026,Couple,"Szép, modern, tiszta és nagyon jó az ellátás.",Minden rendben volt
39,10,6 February 2026,Group,"Tisztaság mindenhol, kedves személyzet. A kaja nagyon finom és változatos. Nagyon jól éreztük magunkat, megyünk máskor is.",
40,10,27 January 2026,Couple,"Rugalmas volt a szállás. Nagyon készségesek voltak, profi személyzet, kedvesség, figyelmesség. A szoba szép volt.",Akárhogy is gondolkozom nem tudok mibe belekötni. Az egyik legjobb wellness szálloda volt ahol valaha jártam.
41,10,23 January 2026,Family,Minden szuper volt.,
42,10,18 January 2026,Couple,Félpanziós ellátást vettünk igénybe. Reggelinél és a vacsoránál is hatalmas választék volt és nagyon finom volt minden. A személyzet nagyon figyelmes és előzékeny volt. A szobánk felszereltsége csodás volt és nagyon kényelmesek voltak az ágyak.,"A szaunánál ki van írva, hogy gyerekek nem vehetik igénybe, ennek ellenére tele volt kisgyerekes családdal. A szobánkat nem takarították az ott tartózkodásunk során (2 éjszaka, 3 nap)."
